"","study","education","n","freq"
"1",1,"Bachelor's Degree",26,0.262626262626263
"2",1,"Doctoral Degree",2,0.0202020202020202
"3",1,"High School Diploma",21,0.212121212121212
"4",1,"Master's Degree",8,0.0808080808080808
"5",1,"Middle School",2,0.0202020202020202
"6",1,"Some College",40,0.404040404040404
"7",2,"Bachelor's Degree",28,0.259259259259259
"8",2,"High School Diploma",26,0.240740740740741
"9",2,"Master's Degree",13,0.12037037037037
"10",2,"Middle School",6,0.0555555555555556
"11",2,"Some College",35,0.324074074074074
