"","study","race","n","freq"
"1",1,"Asian",12,0.121212121212121
"2",1,"Black/African American",6,0.0606060606060606
"3",1,"Hispanic/Latino",2,0.0202020202020202
"4",1,"Other",1,0.0101010101010101
"5",1,"White/Caucasian",78,0.787878787878788
"6",2,"American Indian/Alaska Native",2,0.0185185185185185
"7",2,"Asian",4,0.037037037037037
"8",2,"Black/African American",12,0.111111111111111
"9",2,"Hispanic/Latino",7,0.0648148148148148
"10",2,"Other",1,0.00925925925925926
"11",2,"White/Caucasian",82,0.759259259259259
